[1, 0, 6, 5, 4, 3, 2, 7] : 112.95668
[1, 0, 6, 5, 4, 7, 2, 3] : 103.8356
[1, 0, 6, 7, 2, 3, 4, 5] : 111.786606
[1, 0, 6, 7, 2, 3, 5, 4] : 113.67248
[1, 0, 6, 7, 2, 4, 3, 5] : 114.18414
[1, 0, 6, 7, 2, 4, 5, 3] : 110.60761
[1, 0, 6, 7, 4, 2, 3, 5] : 112.54802
[1, 0, 6, 7, 4, 5, 3, 2] : 105.533966
[1, 2, 3, 0, 5, 4, 6, 7] : 112.868515
[1, 2, 3, 0, 5, 4, 7, 6] : 111.62183
[1, 2, 3, 0, 5, 6, 4, 7] : 108.49405
[1, 2, 3, 0, 5, 6, 7, 4] : 101.01585
[1, 2, 3, 0, 6, 5, 4, 7] : 110.57364
[1, 2, 3, 0, 6, 7, 4, 5] : 109.40358
[1, 2, 3, 4, 5, 0, 6, 7] : 105.84455
[1, 2, 3, 4, 7, 6, 0, 5] : 100.3
[1, 2, 3, 5, 0, 6, 4, 7] : 109.664085
[1, 2, 3, 5, 0, 6, 7, 4] : 102.18588
[1, 2, 4, 3, 0, 5, 6, 7] : 107.072044
[1, 2, 4, 3, 5, 0, 6, 7] : 108.24208
[1, 2, 4, 5, 3, 0, 6, 7] : 117.34564
[1, 2, 4, 7, 6, 0, 3, 5] : 111.8011
[1, 2, 4, 7, 6, 0, 5, 3] : 99.12101
[1, 2, 4, 7, 6, 5, 0, 3] : 97.950966
[1, 2, 7, 4, 3, 0, 5, 6] : 108.88348
[1, 2, 7, 4, 3, 0, 6, 5] : 106.66522
[1, 2, 7, 4, 3, 5, 0, 6] : 110.05351
[1, 2, 7, 4, 5, 3, 0, 6] : 119.157074
[1, 2, 7, 4, 5, 6, 0, 3] : 103.088684
[1, 2, 7, 4, 6, 0, 3, 5] : 114.85922
[1, 2, 7, 4, 6, 0, 5, 3] : 102.17912
[1, 2, 7, 4, 6, 5, 0, 3] : 101.00909
[1, 2, 7, 6, 0, 3, 4, 5] : 111.03969
[1, 2, 7, 6, 0, 3, 5, 4] : 112.92556
[1, 2, 7, 6, 0, 5, 3, 4] : 103.822
[1, 2, 7, 6, 0, 5, 4, 3] : 98.3596
[1, 2, 7, 6, 4, 3, 0, 5] : 108.96008
[1, 2, 7, 6, 4, 5, 0, 3] : 105.38356
[1, 2, 7, 6, 5, 0, 3, 4] : 102.65196
[1, 3, 0, 5, 4, 2, 7, 6] : 116.69547
[1, 3, 0, 5, 4, 6, 7, 2] : 105.38356
[1, 3, 0, 5, 6, 4, 2, 7] : 113.567696
[1, 3, 0, 5, 6, 4, 7, 2] : 101.009094
[1, 3, 0, 5, 6, 7, 2, 4] : 106.08949
[1, 3, 0, 5, 6, 7, 4, 2] : 97.95097
[1, 3, 0, 6, 5, 4, 2, 7] : 115.647285
[1, 3, 0, 6, 5, 4, 7, 2] : 103.08869
[1, 3, 0, 6, 7, 2, 4, 5] : 114.47722
[1, 3, 2, 4, 5, 0, 6, 7] : 109.282074
[1, 3, 2, 4, 7, 6, 0, 5] : 103.73753
[1, 3, 2, 7, 4, 5, 0, 6] : 111.09351
[1, 3, 2, 7, 4, 6, 0, 5] : 106.795654
[1, 3, 2, 7, 6, 0, 5, 4] : 104.86199
[1, 3, 4, 2, 7, 6, 0, 5] : 105.37366
[1, 3, 4, 5, 0, 6, 7, 2] : 98.3596
